Date,Value,year,month,day
2018-04-18,446.8299999999999,2018,4,18
2018-04-19,446.84625,2018,4,19
2018-04-20,445.668125,2018,4,20
2018-04-21,446.211875,2018,4,21
2018-04-22,449.235,2018,4,22
2018-04-23,458.6137499999999,2018,4,23
2018-04-24,456.7724999999999,2018,4,24
2018-04-25,460.5999999999999,2018,4,25
2018-04-26,462.345625,2018,4,26
2018-04-27,462.406875,2018,4,27
2018-04-28,463.2049999999999,2018,4,28
2018-04-29,466.8968749999999,2018,4,29
2018-04-30,471.110625,2018,4,30
2018-05-01,462.7025,2018,5,1
2018-05-02,462.638125,2018,5,2
2018-05-03,463.846875,2018,5,3
2018-05-04,461.5793749999999,2018,5,4
2018-05-05,455.086875,2018,5,5
2018-05-06,451.1687500000001,2018,5,6
2018-05-07,450.72375,2018,5,7
2018-05-08,450.7375,2018,5,8
2018-05-09,450.74437499999993,2018,5,9
2018-05-10,450.7231249999999,2018,5,10
2018-05-11,451.63999999999993,2018,5,11
2018-05-12,451.639375,2018,5,12
2018-05-13,450.2049999999999,2018,5,13
2018-05-14,450.188125,2018,5,14
2018-05-15,450.1849999999999,2018,5,15
2018-05-16,450.1787499999999,2018,5,16
2018-05-17,450.176875,2018,5,17
2018-05-18,450.1737499999999,2018,5,18
2018-05-19,451.1887499999999,2018,5,19
2018-05-20,454.0587499999999,2018,5,20
2018-05-21,432.971875,2018,5,21
2018-05-22,434.3124999999999,2018,5,22
2018-05-23,433.08,2018,5,23
2018-05-24,431.98124999999993,2018,5,24
2018-05-25,431.9568749999999,2018,5,25
2018-05-26,432.2918749999999,2018,5,26
2018-05-27,432.584375,2018,5,27
2018-05-28,432.61187500000005,2018,5,28
2018-05-29,430.79687500000006,2018,5,29
2018-05-30,430.79687500000006,2018,5,30
2018-05-31,430.79687500000006,2018,5,31
2018-06-01,433.18125,2018,6,1
2018-06-02,432.684375,2018,6,2
2018-06-03,440.0112500000001,2018,6,3
2018-06-04,439.661875,2018,6,4
2018-06-05,440.555625,2018,6,5
2018-06-06,440.553125,2018,6,6
2018-06-07,444.855,2018,6,7
2018-06-08,444.85125,2018,6,8
2018-06-09,445.3268750000001,2018,6,9
2018-06-10,442.2075,2018,6,10
2018-06-11,441.990625,2018,6,11
2018-06-12,440.39125000000007,2018,6,12
2018-06-13,440.39625,2018,6,13
2018-06-14,440.396875,2018,6,14
2018-06-15,440.408125,2018,6,15
2018-06-16,436.94,2018,6,16
2018-06-17,436.486875,2018,6,17
2018-06-18,436.470625,2018,6,18
2018-06-19,436.480625,2018,6,19
2018-06-20,436.7012499999999,2018,6,20
2018-06-21,440.6925,2018,6,21
2018-06-22,441.846875,2018,6,22
2018-06-23,443.78,2018,6,23
2018-06-24,453.7681250000001,2018,6,24
2018-06-25,448.895625,2018,6,25
2018-06-26,449.70312500000006,2018,6,26
2018-06-27,453.32875000000007,2018,6,27
2018-06-28,453.790625,2018,6,28
2018-06-29,460.9131250000001,2018,6,29
2018-06-30,461.8968750000001,2018,6,30
2018-07-01,461.280625,2018,7,1
2018-07-02,461.6462500000001,2018,7,2
2018-07-03,460.01000000000016,2018,7,3
2018-07-04,456.3637500000001,2018,7,4
2018-07-05,456.78937500000006,2018,7,5
2018-07-06,452.166875,2018,7,6
2018-07-07,455.36187500000005,2018,7,7
2018-07-08,462.85000000000014,2018,7,8
2018-07-09,470.2806250000001,2018,7,9
2018-07-10,469.93875000000014,2018,7,10
2018-07-11,471.3543750000001,2018,7,11
2018-07-12,470.7743750000001,2018,7,12
2018-07-13,473.97375,2018,7,13
2018-07-14,472.853125,2018,7,14
2018-07-15,485.2693749999999,2018,7,15
2018-07-16,483.108125,2018,7,16
2018-07-17,483.03375,2018,7,17
2018-07-18,481.13,2018,7,18
2018-07-19,480.93000000000006,2018,7,19
2018-07-20,471.171875,2018,7,20
2018-07-21,478.78625,2018,7,21
2018-07-22,480.00812500000006,2018,7,22
2018-07-23,480.39625000000007,2018,7,23
2018-07-24,480.40687500000007,2018,7,24
2018-07-25,480.7575000000001,2018,7,25
2018-07-26,480.7637500000001,2018,7,26
2018-07-27,507.3743750000001,2018,7,27
2018-07-28,507.96875000000006,2018,7,28
2018-07-29,508.45062500000006,2018,7,29
2018-07-30,507.2543750000001,2018,7,30
2018-07-31,480.4656250000001,2018,7,31
2018-08-01,481.32125,2018,8,1
2018-08-02,481.0375,2018,8,2
2018-08-03,496.464375,2018,8,3
2018-08-04,496.903125,2018,8,4
2018-08-05,488.35125,2018,8,5
2018-08-06,488.25125,2018,8,6
2018-08-07,488.25125,2018,8,7
2018-08-08,488.405625,2018,8,8
2018-08-09,488.4024999999999,2018,8,9
2018-08-10,481.85,2018,8,10
2018-08-11,477.5143749999999,2018,8,11
2018-08-12,482.3299999999999,2018,8,12
2018-08-13,482.67875,2018,8,13
2018-08-14,477.8325,2018,8,14
2018-08-15,478.3168749999999,2018,8,15
2018-08-16,480.6268749999999,2018,8,16
2018-08-17,480.6812499999999,2018,8,17
2018-08-18,478.9249999999999,2018,8,18
2018-08-19,484.6018750000001,2018,8,19
2018-08-20,484.6087500000001,2018,8,20
2018-08-21,484.6012500000001,2018,8,21
2018-08-22,505.81000000000006,2018,8,22
2018-08-23,505.81000000000006,2018,8,23
2018-08-24,506.3562500000001,2018,8,24
2018-08-25,503.09937500000007,2018,8,25
2018-08-26,501.12125,2018,8,26
2018-08-27,501.098125,2018,8,27
2018-08-28,501.541875,2018,8,28
2018-08-29,501.23875,2018,8,29
2018-08-30,501.2325,2018,8,30
2018-08-31,500.8574999999999,2018,8,31
2018-09-01,509.65125,2018,9,1
2018-09-02,515.355,2018,9,2
2018-09-03,514.5518750000001,2018,9,3
2018-09-04,514.5875000000001,2018,9,4
2018-09-05,514.58125,2018,9,5
2018-09-06,514.5931250000001,2018,9,6
2018-09-07,514.59625,2018,9,7
2018-09-08,490.384375,2018,9,8
2018-09-09,493.365625,2018,9,9
2018-09-10,493.395,2018,9,10
2018-09-11,493.39125,2018,9,11
2018-09-12,493.7656250000001,2018,9,12
2018-09-13,493.7675,2018,9,13
2018-09-14,493.7550000000001,2018,9,14
2018-09-15,488.3506250000001,2018,9,15
2018-09-16,483.933125,2018,9,16
2018-09-17,484.600625,2018,9,17
2018-09-18,484.60624999999993,2018,9,18
2018-09-19,489.284375,2018,9,19
2018-09-20,489.28187500000007,2018,9,20
2018-09-21,489.295625,2018,9,21
2018-09-22,489.295625,2018,9,22
2018-09-23,495.914375,2018,9,23
2018-09-24,490.450625,2018,9,24
2018-09-25,490.461875,2018,9,25
2018-09-26,495.25125,2018,9,26
2018-09-27,495.24875,2018,9,27
2018-09-28,477.23705882352937,2018,9,28
2018-09-29,476.8305882352941,2018,9,29
2018-09-30,477.8588235294117,2018,9,30
2018-10-01,477.8023529411765,2018,10,1
2018-10-02,477.7317647058823,2018,10,2
2018-10-03,477.8964705882353,2018,10,3
2018-10-04,476.7458823529412,2018,10,4
2018-10-05,477.0517647058823,2018,10,5
2018-10-06,478.18294117647065,2018,10,6
2018-10-07,475.7229411764706,2018,10,7
2018-10-08,475.8911764705883,2018,10,8
2018-10-09,477.11941176470594,2018,10,9
2018-10-10,476.2905882352942,2018,10,10
2018-10-11,476.304705882353,2018,10,11
2018-10-12,474.5694117647059,2018,10,12
2018-10-13,474.9500000000001,2018,10,13
2018-10-14,478.384705882353,2018,10,14
2018-10-15,481.1182352941177,2018,10,15
2018-10-16,507.5247058823529,2018,10,16
2018-10-17,507.53647058823526,2018,10,17
2018-10-18,507.5870588235295,2018,10,18
2018-10-19,507.58411764705886,2018,10,19
2018-10-20,507.5894117647059,2018,10,20
2018-10-21,507.73117647058825,2018,10,21
2018-10-22,504.9405882352941,2018,10,22
2018-10-23,504.08,2018,10,23
2018-10-24,504.0505882352941,2018,10,24
2018-10-25,504.0452941176471,2018,10,25
2018-10-26,504.46529411764703,2018,10,26
2018-10-27,504.9794117647058,2018,10,27
2018-10-28,507.03,2018,10,28
2018-10-29,509.9611764705882,2018,10,29
2018-10-30,507.04235294117655,2018,10,30
2018-10-31,507.8188235294119,2018,10,31
2018-11-01,511.3529411764706,2018,11,1
2018-11-02,511.8741176470589,2018,11,2
2018-11-03,482.9317647058825,2018,11,3
2018-11-04,489.1676470588236,2018,11,4
2018-11-05,489.0388235294117,2018,11,5
2018-11-06,489.0517647058822,2018,11,6
2018-11-07,489.0541176470587,2018,11,7
2018-11-08,488.7158823529411,2018,11,8
2018-11-09,518.2729411764707,2018,11,9
2018-11-10,518.06,2018,11,10
2018-11-11,492.7317647058824,2018,11,11
2018-11-12,492.7335294117648,2018,11,12
2018-11-13,521.1570588235294,2018,11,13
2018-11-14,519.3164705882353,2018,11,14
2018-11-15,491.0682352941176,2018,11,15
2018-11-16,489.4123529411765,2018,11,16
2018-11-17,519.3123529411764,2018,11,17
2018-11-18,512.0647058823529,2018,11,18
2018-11-19,512.5117647058823,2018,11,19
2018-11-20,484.6017647058822,2018,11,20
2018-11-21,484.18176470588224,2018,11,21
2018-11-22,484.49882352941177,2018,11,22
2018-11-23,481.9394117647058,2018,11,23
2018-11-24,481.87176470588224,2018,11,24
2018-11-25,481.6735294117646,2018,11,25
2018-11-26,486.4223529411765,2018,11,26
2018-11-27,486.7405882352941,2018,11,27
2018-11-28,486.2217647058823,2018,11,28
2018-11-29,486.6135294117646,2018,11,29
2018-11-30,490.2541176470587,2018,11,30
2018-12-01,509.1933333333332,2018,12,1
2018-12-02,510.5,2018,12,2
2018-12-03,510.7805555555555,2018,12,3
2018-12-04,510.87888888888887,2018,12,4
2018-12-05,510.87888888888887,2018,12,5
2018-12-06,490.7722222222223,2018,12,6
2018-12-07,489.9172222222222,2018,12,7
2018-12-08,491.7183333333333,2018,12,8
2018-12-09,488.49722222222215,2018,12,9
2018-12-10,488.50388888888887,2018,12,10
2018-12-11,488.49222222222215,2018,12,11
2018-12-12,486.01277777777767,2018,12,12
2018-12-13,485.8399999999999,2018,12,13
2018-12-14,484.9983333333333,2018,12,14
2018-12-15,481.9516666666666,2018,12,15
2018-12-16,491.0688888888888,2018,12,16
2018-12-17,491.0544444444443,2018,12,17
2018-12-18,487.3816666666666,2018,12,18
2018-12-19,487.82444444444434,2018,12,19
2018-12-20,487.5383333333333,2018,12,20
2018-12-21,487.5305555555555,2018,12,21
2018-12-22,485.6494444444445,2018,12,22
2018-12-23,486.55,2018,12,23
2018-12-24,509.5466666666667,2018,12,24
2018-12-25,486.5511111111112,2018,12,25
2018-12-26,487.7677777777778,2018,12,26
2018-12-27,516.0577777777778,2018,12,27
2018-12-28,513.6183333333333,2018,12,28
2018-12-29,512.0888888888888,2018,12,29
2018-12-30,508.1055555555556,2018,12,30
2018-12-31,507.67722222222216,2018,12,31
2019-01-01,509.8961111111111,2019,1,1
2019-01-02,511.30555555555554,2019,1,2
2019-01-03,508.101111111111,2019,1,3
2019-01-04,505.50277777777774,2019,1,4
2019-01-05,506.2555555555555,2019,1,5
2019-01-06,505.2755555555556,2019,1,6
2019-01-07,505.2355555555556,2019,1,7
2019-01-08,505.2694444444444,2019,1,8
2019-01-09,505.1783333333333,2019,1,9
2019-01-10,500.19444444444446,2019,1,10
2019-01-11,500.2516666666666,2019,1,11
2019-01-12,501.6438888888889,2019,1,12
2019-01-13,508.4805555555556,2019,1,13
2019-01-14,513.0094444444444,2019,1,14
2019-01-15,512.5661111111111,2019,1,15
2019-01-16,507.675,2019,1,16
2019-01-17,512.9555555555555,2019,1,17
2019-01-18,515.5349999999999,2019,1,18
2019-01-19,514.4783333333334,2019,1,19
2019-01-20,518.0605555555555,2019,1,20
2019-01-21,516.8666666666667,2019,1,21
2019-01-22,515.7938888888889,2019,1,22
2019-01-23,515.9005555555555,2019,1,23
2019-01-24,515.0927777777778,2019,1,24
2019-01-25,512.1399999999999,2019,1,25
2019-01-26,510.8722222222223,2019,1,26
2019-01-27,514.0333333333333,2019,1,27
2019-01-28,510.0872222222222,2019,1,28
2019-01-29,510.0405555555556,2019,1,29
2019-01-30,504.2755555555555,2019,1,30
2019-01-31,521.1333333333333,2019,1,31
2019-02-01,503.9538888888889,2019,2,1
2019-02-02,506.68777777777774,2019,2,2
2019-02-03,503.67555555555566,2019,2,3
2019-02-04,501.1155555555556,2019,2,4
2019-02-05,501.3588888888888,2019,2,5
2019-02-06,501.3605555555554,2019,2,6
2019-02-07,502.1083333333333,2019,2,7
2019-02-08,502.4161111111111,2019,2,8
2019-02-09,504.43888888888887,2019,2,9
2019-02-10,507.4605555555555,2019,2,10
2019-02-11,506.9777777777777,2019,2,11
2019-02-12,506.3822222222222,2019,2,12
2019-02-13,507.2738888888888,2019,2,13
2019-02-14,508.9472222222222,2019,2,14
2019-02-15,508.6838888888889,2019,2,15
2019-02-16,508.4794444444444,2019,2,16
2019-02-17,507.29611111111103,2019,2,17
2019-02-18,507.3072222222221,2019,2,18
2019-02-19,503.5772222222221,2019,2,19
2019-02-20,499.3672222222221,2019,2,20
2019-02-21,494.4727777777776,2019,2,21
2019-02-22,494.1216666666666,2019,2,22
2019-02-23,493.6355555555554,2019,2,23
2019-02-24,495.81388888888887,2019,2,24
2019-02-25,493.7405555555556,2019,2,25
2019-02-26,483.4777777777777,2019,2,26
2019-02-27,493.1272222222221,2019,2,27
2019-02-28,492.79611111111103,2019,2,28
2019-03-01,498.1533333333333,2019,3,1
2019-03-02,501.1627777777777,2019,3,2
2019-03-03,489.5905555555554,2019,3,3
2019-03-04,489.3344444444445,2019,3,4
2019-03-05,487.02777777777777,2019,3,5
2019-03-06,489.1194444444443,2019,3,6
2019-03-07,488.9049999999999,2019,3,7
2019-03-08,488.8999999999999,2019,3,8
2019-03-09,493.3444444444444,2019,3,9
